"#","PLAYER","RATING","ERROR","POINTS","PLAYED","(%)","CFS(%)"
1,"Guofish5-10.9M-BIG",0.0,"-",64.00,100,64.00,100
2,"Guofish5-10.9M-SMALL",-102.0,44.2,36.00,100,36.00,"-"
