"#","PLAYER","RATING","ERROR","POINTS","PLAYED","(%)","CFS(%)"
1,"Guofish5-10.9M",7.0,52.1,51.00,100,51.00,60
2,"Guofish4-25.6M",0.0,"-",49.00,100,49.00,"-"
