"#","PLAYER","RATING","ERROR","POINTS","PLAYED","(%)","CFS(%)"
1,"cand-v5_10.9M",176.2,40.5,145.50,200,72.75,100
2,"base-20M-ep9",0.0,"-",54.50,200,27.25,"-"
